trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 1.0, 'e': 0.891314857634352}",20,0,-111.74757679697818,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
116,False,"{'a': 1.0, 'e': 0.8904235427767176}",35,0,-174.67874507523894,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
117,False,"{'a': 1.0, 'e': 0.889533119233941}",25,0,-141.73640609754827,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
118,False,"{'a': 1.0, 'e': 0.8886435861147071}",20,0,-108.51929221569303,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
119,False,"{'a': 1.0, 'e': 0.8877549425285923}",25,0,-132.5604424184458,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
120,False,"{'a': 1.0, 'e': 0.8868671875860638}",25,0,-128.97632906067716,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
121,False,"{'a': 1.0, 'e': 0.8859803203984776}",20,0,-65.7101645550055,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 1.0, 'e': 0.8850943400780792}",20,3,-37.18983179937241,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
123,False,"{'a': 1.0, 'e': 0.8842092457380011}",20,0,-34.14817615720998,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 1.0, 'e': 0.8833250364922631}",20,0,-67.47200037486488,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 1.0, 'e': 0.8824417114557709}",20,0,-45.55875987416827,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 1.0, 'e': 0.8815592697443151}",25,0,-72.09147077014019,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 1.0, 'e': 0.8806777104745708}",30,16,-5.535783603605066,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 1.0, 'e': 0.8797970327640962}",25,0,-83.80331169332578,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
129,False,"{'a': 1.0, 'e': 0.8789172357313321}",20,0,-143.53965559758188,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
130,False,"{'a': 1.0, 'e': 0.8780383184956008}",20,0,-162.11638474082739,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
131,False,"{'a': 1.0, 'e': 0.8771602801771051}",35,0,-131.05346546383586,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 1.0, 'e': 0.8762831198969281}",20,0,-64.16190020726137,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
133,False,"{'a': 1.0, 'e': 0.8754068367770311}",20,10,-90.14559925739181,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
134,False,"{'a': 1.0, 'e': 0.8745314299402541}",25,0,-84.03891584534128,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
135,False,"{'a': 1.0, 'e': 0.8736568985103138}",25,0,-52.4712134788951,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 1.0, 'e': 0.8727832416118035}",30,0,-166.52334296657264,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
137,False,"{'a': 1.0, 'e': 0.8719104583701917}",25,0,-189.91583772163835,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
138,False,"{'a': 1.0, 'e': 0.8710385479118216}",20,0,-67.68847924394963,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 1.0, 'e': 0.8701675093639096}",35,0,-167.2628553251968,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
140,False,"{'a': 1.0, 'e': 0.8692973418545458}",20,0,-81.14682812203633,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
141,False,"{'a': 1.0, 'e': 0.8684280445126912}",30,0,-200.95242117203603,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
142,False,"{'a': 1.0, 'e': 0.8675596164681786}",20,0,-123.57188946557335,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 1.0, 'e': 0.8666920568517104}",25,0,-93.4527194779067,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 1.0, 'e': 0.8658253647948586}",25,0,-143.9714060476474,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
145,False,"{'a': 1.0, 'e': 0.8649595394300638}",20,0,-136.13062002992743,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
146,False,"{'a': 1.0, 'e': 0.8640945798906338}",25,10,-17.492223526329965,"{0: 10, 1: 4, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 1.0, 'e': 0.8632304853107431}",20,4,-52.1801343357774,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 1.0, 'e': 0.8623672548254323}",20,0,-156.06344539848934,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
149,False,"{'a': 1.0, 'e': 0.861504887570607}",35,0,-215.1636788005311,"{0: 17, 1: 9, 2: 5, 3: 1, 4: 3}",0
150,False,"{'a': 1.0, 'e': 0.8606433826830363}",20,0,-180.5771949907612,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
151,False,"{'a': 1.0, 'e': 0.8597827393003533}",25,0,-16.63352501212585,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 1.0, 'e': 0.8589229565610529}",20,0,-164.64426436462972,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
153,False,"{'a': 1.0, 'e': 0.8580640336044919}",20,0,-48.01363343535988,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
154,False,"{'a': 1.0, 'e': 0.8572059695708873}",25,0,-87.51749380445861,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
155,False,"{'a': 1.0, 'e': 0.8563487636013165}",20,6,-98.99677275333593,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 1}",1
156,False,"{'a': 1.0, 'e': 0.8554924148377152}",20,0,-62.19313149876515,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 1.0, 'e': 0.8546369224228775}",20,4,-37.07302547748459,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
158,False,"{'a': 1.0, 'e': 0.8537822855004545}",25,0,-99.473413285676,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
159,False,"{'a': 1.0, 'e': 0.8529285032149541}",25,0,-95.63810122357293,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
160,False,"{'a': 1.0, 'e': 0.8520755747117391}",20,0,-172.07581306118394,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
161,False,"{'a': 1.0, 'e': 0.8512234991370274}",20,0,-184.57256083350484,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
162,False,"{'a': 1.0, 'e': 0.8503722756378904}",30,0,-111.79362849712577,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
163,False,"{'a': 1.0, 'e': 0.8495219033622525}",25,0,-155.7197810936595,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
164,False,"{'a': 1.0, 'e': 0.8486723814588902}",20,0,-100.39167132986064,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
165,False,"{'a': 1.0, 'e': 0.8478237090774313}",20,0,-202.12163831896243,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
166,False,"{'a': 1.0, 'e': 0.8469758853683539}",20,0,-69.93724801884497,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
167,False,"{'a': 1.0, 'e': 0.8461289094829856}",30,0,-165.25279213317592,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
168,False,"{'a': 1.0, 'e': 0.8452827805735026}",25,0,-135.82955692967698,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
169,False,"{'a': 1.0, 'e': 0.8444374977929291}",20,0,-22.890485053250767,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
170,False,"{'a': 1.0, 'e': 0.8435930602951361}",30,11,-41.098253560370075,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
171,False,"{'a': 1.0, 'e': 0.842749467234841}",35,0,-269.50431834249093,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 5}",0
172,False,"{'a': 1.0, 'e': 0.8419067177676062}",30,0,-154.3782025108056,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
173,False,"{'a': 1.0, 'e': 0.8410648110498385}",20,0,-160.2225339277175,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 1.0, 'e': 0.8402237462387887}",25,0,-111.9479711667719,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
175,False,"{'a': 1.0, 'e': 0.8393835224925499}",20,0,-96.53622178245571,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
176,False,"{'a': 1.0, 'e': 0.8385441389700574}",20,0,-50.04940248628769,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
177,False,"{'a': 1.0, 'e': 0.8377055948310873}",25,0,-113.44583890973699,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
178,False,"{'a': 1.0, 'e': 0.8368678892362562}",25,0,-70.02415444237556,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 1.0, 'e': 0.83603102134702}",25,0,-131.96519475788457,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
180,False,"{'a': 1.0, 'e': 0.8351949903256729}",25,0,-220.62607082282628,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
181,False,"{'a': 1.0, 'e': 0.8343597953353473}",20,0,-51.86221473871338,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
182,False,"{'a': 1.0, 'e': 0.8335254355400119}",20,7,-23.123728711792793,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
183,False,"{'a': 1.0, 'e': 0.832691910104472}",20,0,-96.06602738603921,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
